,,SFF,SNN,SNW
% DW,Carbon (mean),35.95,36.12,37.65
% DW,Nitrogen (mean),0.93,1.04,0.86
% DW,Phosphorous (mean),0.03,0.05,0.04
% DW,Ag (mean),-,-,0.000000005
mg kg-1 dw,As,0.00000539,0.00000539,0.000005238
mg kg-1 dw,Ba,0.000002011,0.000002011,0.000001904
mg kg-1 dw,Be,-,-,-
mg kg-1 dw,Cd,0.000000043,0.000000043,0.000000034
mg kg-1 dw,Co,0.00000006,0.00000006,0.000000041
mg kg-1 dw,Cr,0.00000004,0.00000004,0.000000047
mg kg-1 dw,Cu,0.000000258,0.000000258,0.00000026
mg kg-1 dw,Hg,-,-,0.000000001
mg kg-1 dw,Mn,0.000001636,0.000001636,0.000001716
mg kg-1 dw,Mo,0.000000014,0.000000014,0.000000012
mg kg-1 dw,Ni,0.000000217,0.000000217,0.000000223
mg kg-1 dw,Pb,0.000000019,0.000000019,0.000000024
mg kg-1 dw,Se,0.000000074,0.000000074,0.000000055
mg kg-1 dw,V,0.000000254,0.000000254,0.000000133
mg kg-1 dw,Zn,0.000000856,0.000000856,0.000000875